,gmap_id,name,address,latitude,longitude,num_of_reviews,avg_rating,cluster,city,Ciudad,cluster_categories,positive_sentiment,negative_sentiment
13,0x80c2a3f2d19a95b9:0xbe7400caa486be55,Gladstones Pacific Palisades fillbox,"Gladstones Pacific Palisades fillbox, 17360-17392 Pacific Coast Hwy, Pacific Palisades, CA 90272",34.0382957,-118.5562896,18,4.9,3,Santa Monica,Pacific Palisades,Restaurant,10,0
14,0x80c2c715e2f0130f:0xa9a0b679f80d8e54,Isaan Classic,"Isaan Classic, 2701 Sunset Blvd, Los Angeles, CA 90026",34.0810221,-118.2703368,23,4.6,3,Silver Lake,Los Angeles,Restaurant,10,0
15,0x80c2ce5ad7ea5515:0x155d92fbf5bf2cc7,MJ CAFE,"MJ CAFE, 6055 E Washington Blvd b11, Commerce, CA 90040",33.996811699999995,-118.1481783,8,4.6,24,Bell Gardens,Los Angeles,Restaurant supply store,2,0
16,0x80c28758c9f2739f:0xe44f4ef91661c984,Subway,"Subway, 27530 Newhall Ranch Rd Suite 102, Valencia, CA 91355",34.4359523,-118.5627569,48,4.2,9,Stevenson Ranch,Valencia,Sandwich shop,16,2
17,0x80c29b16da873c63:0x43a18c961ab96175,Indian By Nature,"Indian By Nature, 8241 Tampa Ave, Reseda, CA 91335",34.2202414,-118.5540652,48,4.9,32,Northridge,Northridge,Indian restaurant,32,0
18,0x80c2971865b00631:0x1d360a4bfe47e631,Chit Chat Restaurant Cafe Lounge,"Chit Chat Restaurant Cafe Lounge, 7115 Van Nuys Blvd, Van Nuys, CA 91405",34.199821,-118.449029,18,4.8,2,Valley Glen,Van Nuys,Pizza restaurant,4,0
19,0x80c2d78f83e4823d:0xb9a3d42214ea59a4,Pho Oh Love,"Pho Oh Love, 1831 N Hacienda Blvd, La Puente, CA 91744",34.0521515,-117.9439046,24,4.7,13,Valinda,La Puente,Vietnamese restaurant,5,0
20,0x80c2cec37e5f07a9:0xc8d0d5c79216c26b,Terraza Tequila,"Terraza Tequila, 4356 Slauson Ave, Maywood, CA 90270",33.9871747,-118.1881757,18,3.1,4,Maywood,Maywood,Mexican restaurant,0,1
21,0x80dd3138a43a4147:0xa2e5ff443ec27a3a,TOGO'S Sandwiches,"TOGO'S Sandwiches, 510 Long Beach Blvd, Long Beach, CA 90802",33.773081999999995,-118.189096,18,3.9,9,Long Beach,Long Beach,Sandwich shop,4,0
22,0x80c2bab9b17b66a3:0x3ee29e79a90b74aa,Cairo Cowboy,"Cairo Cowboy, 4102, 46 Windward Ave, Venice, CA 90291",33.9875413,-118.4745551,48,4.0,25,Venice,Venice,Mediterranean restaurant,4,7
23,0x80dd362ffc0c50d5:0xd4afdef520c64b08,Tacos Y Mariscos,"Tacos Y Mariscos, 615 S Pacific Ave, San Pedro, CA 90731",33.7384074,-118.2880763,58,3.8,4,San Pedro,San Pedro,Mexican restaurant,6,0
24,0x80c2c635a3cb750d:0x795ce27d68bb6409,Palikao,"Palikao, 130 E 6th St, Los Angeles, CA 90014",34.044605,-118.2492995,27,4.7,3,Los Angeles,Los Angeles,Restaurant,3,1
25,0x80c2bb5bf5cc4ce9:0xa46604dd543ca1c7,Yamakase,"Yamakase, 11901 Santa Monica Blvd, Los Angeles, CA 90025",34.0421467,-118.4608771,25,4.5,3,Santa Monica,Los Angeles,Restaurant,3,1
26,0x80c2c7b3b03af0f3:0xae620d1f51b14c0b,Salata,"Salata, 505 Flower St #B430, Los Angeles, CA 90071",34.0514702,-118.2564231,34,3.8,24,Los Angeles,Los Angeles,Restaurant supply store,3,3
27,0x80c2c62e938d4ad7:0x10113c7633cb19d2,La Papa Loca,"La Papa Loca, 1210 E Olympic Blvd, Los Angeles, CA 90021",34.0331421,-118.2457837,35,4.2,4,Los Angeles,Los Angeles,Mexican restaurant,1,1
28,0x80c2c3702cc3c2cd:0x90634b9fb0b01daf,San Restaurant,"San Restaurant, 124 E Colorado Blvd, Pasadena, CA 91105",34.1456399,-118.1478849,18,4.6,23,Pasadena,Pasadena,Seafood restaurant,5,1
29,0x80c2bb9c60b71fd5:0x257df43021838bbe,Sushi Masu,"Sushi Masu, 1911 Westwood Blvd, Los Angeles, CA 90025",34.0477539,-118.4353355,26,4.3,5,Beverly Hills,Los Angeles,Sushi Restaurant,3,0
30,0x80c2c920e14eef15:0x5742c3ff75909ee3,Tokyo Bowl,"Tokyo Bowl, 5938 Pacific Blvd, Huntington Park, CA 90255",33.9873914,-118.2246128,38,4.2,29,Huntington Park,Huntington Park,Japanese restaurant,9,4
31,0x80dd31107463790b:0x22784ac8bdf16d6a,Happy Elephant Vegan,"Happy Elephant Vegan, 1532 E Broadway, Long Beach, CA 90802",33.767748,-118.172445,38,4.1,11,Long Beach,Long Beach,Asian restaurant,4,2
32,0x80c32bf500c0abc9:0x6c366f8a918f5aed,Subway,"Subway, 21710 Valley Blvd Suite C, City of Industry, CA 91789",34.0279843,-117.8337104,38,3.6,9,Diamond Bar,Walnut,Sandwich shop,4,3
33,0x80c32b5988cd3fa1:0xfb11ba0daf48fb70,Tea Rush,"Tea Rush, 2759 S Diamond Bar Blvd, Diamond Bar, CA 91765",33.9759697,-117.8378909,28,4.4,3,Walnut,Diamond Bar,Restaurant,4,0
34,0x80c2b378fd6dd4e5:0xb2d25a7a5403194e,Hooked Poke Market,"Hooked Poke Market, 25 Pier Ave, Hermosa Beach, CA 90254",33.862193,-118.401118,14,4.9,23,Hermosa Beach,Hermosa Beach,Seafood restaurant,4,0
35,0x80c2c83f3df0aba3:0xed2bf79813b73da6,Chavez Guadalupe,"Chavez Guadalupe, 5300 S Broadway, Los Angeles, CA 90037",33.9940754,-118.2780823,37,4.4,4,Florence-Graham,Los Angeles,Mexican restaurant,2,0
36,0x80c2bb8287a2a2bd:0xb03f41aff062bd42,Nathan's Kosherland,"Nathan's Kosherland, 1636 Westwood Blvd, Los Angeles, CA 90024",34.052369,-118.438956,38,4.2,10,Beverly Hills,Los Angeles,Pizza restaurant,4,2
37,0x80c29b94d6a1d415:0xb6c85412e7f12920,Northern Cafe,"Northern Cafe, 9305 Reseda Blvd, Northridge, CA 91324",34.2394129,-118.5363711,18,4.0,6,Northridge,Northridge,Chinese restaurant,4,0
38,0x80c2a4905d4712ef:0x2295958e0e302fa1,Sam's by the Beach,"Sam's by the Beach, 108 W Channel Rd, Santa Monica, CA 90402",34.0283064,-118.518909,27,4.4,25,Santa Monica,Santa Monica,Mediterranean restaurant,5,1
39,0x80c2c84fc6975997:0x69176b0c7d86d5a7,Los Angeles Crepes,"Los Angeles Crepes, 10122 Slauson Ave, Los Angeles, CA 90011",33.9890708,-118.2654998,38,4.8,1,Florence-Graham,Los Angeles,Fast food restaurant,3,0
40,0x80c2c7cdf15e106f:0x16dad5f5d4454c5e,Restaurant Pollo Al Carbon,"Restaurant Pollo Al Carbon, 326 E Pico Blvd, Los Angeles, CA 90015",34.034568,-118.257467,36,3.8,4,Los Angeles,Los Angeles,Mexican restaurant,1,2
41,0x80c2d2d990b701e5:0x824ee9fed19d4edb,Happy Bowl,"Happy Bowl, 12327 Imperial Hwy, Norwalk, CA 90650",33.9180156,-118.0702578,28,4.5,29,Norwalk,Norwalk,Japanese restaurant,6,1
42,0x80c2cd093bcb768d:0x70529206613cc2e0,Soup Shop,"Soup Shop, 5840 Firestone Blvd #102, South Gate, CA 90280",33.9486911,-118.1635122,38,4.5,24,Bell Gardens,South Gate,Restaurant supply store,10,1
43,0x80c2c9a13eadfc53:0xf9e76291f260bcba,Tacos El Bronco,"Tacos El Bronco, 8001 S Central Ave, Los Angeles, CA 90001",33.966341,-118.256726,58,4.2,19,Florence-Graham,Los Angeles,Latin American restaurant,4,1
44,0x80c2b7c59de10969:0x346b572a9b04cee1,Martin's Cocina y Cantina,"Martin's Cocina y Cantina, 162 N La Brea Ave, Inglewood, CA 90301",33.9641424,-118.3531575,35,4.8,3,Inglewood,Inglewood,Restaurant,9,0
45,0x80c2bb98ef95166f:0x132007dcad709cca,Marco's Pizza,"Marco's Pizza, 2215 Westwood Blvd # D, Los Angeles, CA 90064",34.0432218,-118.4317416,25,4.3,10,Culver City,Los Angeles,Pizza restaurant,2,2
46,0x80c2b9206b1f242b:0x50605e30cc47f0db,Daedo Sikdang,"Daedo Sikdang, 4001 W 6th St, Los Angeles, CA 90020",34.0638199,-118.3107152,45,4.3,3,Koreatown,Los Angeles,Restaurant,1,2
47,0x80c2c7a55b28dcf1:0x17dc8000c6fb0be6,The Capital Grille,"The Capital Grille, 700 W 9th St Unit B, Los Angeles, CA 90015",34.0460722,-118.2624906,18,4.6,24,Los Angeles,Los Angeles,Restaurant supply store,3,0
48,0x80c331f1417e929d:0x82b46c6015ae5e56,Hayatt Mediterranean Food,"Hayatt Mediterranean Food, 428 Auto Center Dr, Claremont, CA 91711",34.0799701,-117.7208575,16,4.2,25,Claremont,Claremont,Mediterranean restaurant,5,3
49,0x80c295c55a9ef071:0x9a38359316a49ac3,Tacos fiesta LA,"Tacos fiesta LA, 10610 W Magnolia Blvd, North Hollywood, CA 91601",34.164698099999995,-118.362022,38,4.8,26,North Hollywood,North Hollywood,Mexican restaurant,1,1
50,0x80c2bbff2dea0bff:0xf9e91b4fce116d0e,Scarpetta Los Angeles,"Scarpetta Los Angeles, 225 N Canon Dr, Beverly Hills, CA 90210",34.0676187,-118.3988754,28,4.6,15,Beverly Hills,Beverly Hills,Italian restaurant,3,1
51,0x80dd354e6ae8e1e1:0xcf087a8681806156,Quesadilla Loca Estilo D.F Antojitos Mexicanos,"Quesadilla Loca Estilo D.F Antojitos Mexicanos, 1110 W Anaheim St #3, Wilmington, CA 90744",33.778884,-118.2757547,18,4.8,4,Lomita,Wilmington,Mexican restaurant,3,1
52,0x80c2cf12bb3ab789:0x510b99527bece612,Commerce Birrieria,"Commerce Birrieria, 7720 Telegraph Rd, Commerce, CA 90040",33.975412899999995,-118.1243603,28,4.6,4,Pico Rivera,Los Angeles,Mexican restaurant,3,0
53,0x80c2c5421655e4fd:0xd77c78d918b68567,Thanh Thai Restaurant,"Thanh Thai Restaurant, 423 N Atlantic Blvd #102, Monterey Park, CA 91754",34.0675695,-118.1347061,18,4.3,13,Monterey Park,Monterey Park,Vietnamese restaurant,3,0
54,0x80dd4acc053ef159:0xe4bedf07d8e405aa,Qchon Chicken,"Qchon Chicken, 2515 Torrance Blvd, Torrance, CA 90503",33.8372113,-118.3293494,24,4.7,28,Torrance,Torrance,Chicken wings restaurant,3,1
55,0x80c2da56c823a587:0x3a989b5638dd296,Miss Feeling Music Bar,"Miss Feeling Music Bar, 9619 E Las Tunas Dr, Temple City, CA 91780",34.1070837,-118.0602167,25,4.2,24,Temple City,Temple City,Restaurant supply store,3,0
56,0x80c2b65f30d0fde7:0xbf8e754f60967197,Taco Bell,"Taco Bell, 4000 W Century Blvd, Inglewood, CA 90304",33.9451332,-118.3442306,47,2.7,1,Lennox,Inglewood,Fast food restaurant,3,4
57,0x80e8313f682aee35:0x6a60b3bd620cee2c,Milan's Pizza,"Milan's Pizza, 8968 Corbin Ave, Northridge, CA 91324",34.2336605,-118.5619502,18,4.4,2,Northridge,Northridge,Pizza restaurant,1,0
58,0x80c2bbaa7384f4af:0x5ad95a898fdfb4fc,Champagne French Bakery Café National,"Champagne French Bakery Café National, 11709 National Blvd, Los Angeles, CA 90064",34.02266,-118.439092,25,3.8,22,Venice,Los Angeles,Caterer Restaurant,3,1
59,0x80c2c7f3b9910ced:0xdeeee9d9e47f61aa,Hong Kong Express,"Hong Kong Express, 2604 S Vermont Ave C, Los Angeles, CA 90007",34.0311825,-118.2910399,24,3.7,11,Koreatown,Los Angeles,Asian restaurant,1,4
60,0x80c2bf5011d32123:0xaefbcbe597c7df7d,WaBa Grill,"WaBa Grill, 5527 Hollywood Blvd, Los Angeles, CA 90028",34.1018751,-118.3102082,16,3.6,11,Hollywood,Los Angeles,Asian restaurant,3,1
61,0x80c32b23c0e17815:0xf2afec964323dd4b,Cup Bowl Pho - Hot Pot & Tea,"Cup Bowl Pho - Hot Pot & Tea, 17859 Colima Rd, City of Industry, CA 91748",33.990928499999995,-117.9153482,24,4.4,3,Rowland Heights,Rowland Heights,Restaurant,5,0
62,0x80c2bb74e414c3f5:0xd49c696beefe83d6,Asahi Ramen,"Asahi Ramen, 2027 Sawtelle Blvd, Los Angeles, CA 90025",34.0402778,-118.4433333,58,4.2,33,Culver City,Los Angeles,Asian restaurant Ramen,15,3
63,0x80c2cad650058ebf:0xe98b7c2e54c9bde8,A&W Restaurant,"A&W Restaurant, 1000 E Victoria St, Carson, CA 90747",33.863965799999995,-118.2570021,33,4.3,7,Carson,Carson,Hamburger restaurant,4,3
64,0x80c2a5dc4b74b01d:0x59e9be7780916f32,Fresh Corn Grill - Santa Monica,"Fresh Corn Grill - Santa Monica, 720 Wilshire Blvd, Santa Monica, CA 90401",34.0218352,-118.4945143,35,4.5,3,Santa Monica,Santa Monica,Restaurant,5,1
65,0x80c2bed550731fe1:0x8d11ba8c72a45627,Frida Tacos Melrose,"Frida Tacos Melrose, 7217 Melrose Ave, Los Angeles, CA 90046",34.083619299999995,-118.3468834,16,3.8,19,West Hollywood,Los Angeles,Latin American restaurant,1,3
66,0x80c2d5a1a44d7ecf:0x6f1888dc34fdd38,bb.q Chicken Hacienda Heights,"bb.q Chicken Hacienda Heights, 17110 Colima Rd STE C, Hacienda Heights, CA 91745",33.9903668,-117.9345964,17,4.6,3,Rowland Heights,Hacienda Heights,Restaurant,1,0
67,0x80c2bff60b43e103:0x30dc5bd577db1b88,Chinda Barbeque & Restaurant,"Chinda Barbeque & Restaurant, 1714 Victory Blvd, Glendale, CA 91201",34.1614277,-118.3009911,18,4.4,3,Burbank,Glendale,Restaurant,5,0
68,0x80c2c35c284016f1:0x7ca888a10eff0ad8,FISH DISH,"FISH DISH, 230 S Lake Ave, Pasadena, CA 91101",34.1418926,-118.1319203,18,4.0,23,Pasadena,Pasadena,Seafood restaurant,1,1
69,0x80c2c99facb3fac7:0x10ed10e71f828908,Pupuseria La Favorita,"Pupuseria La Favorita, 1132 Firestone Blvd, Los Angeles, CA 90001",33.9599991,-118.2551574,84,4.4,24,Florence-Graham,Los Angeles,Restaurant supply store,2,0
70,0x80c2b4af13ff89bd:0xa8f3c5d09285cb57,Subway,"Subway, 415 N Pacific Coast Hwy Suite 104, Redondo Beach, CA 90277",33.8479252,-118.3885186,48,3.8,9,Redondo Beach,Redondo Beach,Sandwich shop,6,3
71,0x80c2bf50c842c2a9:0xdf92dcdb84e13c63,Bangkok Street Food,"Bangkok Street Food, 5269 Hollywood Blvd #59, Los Angeles, CA 90027",34.1020656,-118.3059433,15,4.1,12,Hollywood,Los Angeles,Thai restaurant,1,0
72,0x80c2bbd29f6d5329:0xbaf90cc2479ca7af,Gentleman's Butchershop & Delicatessen,"Gentleman's Butchershop & Delicatessen, 10002 National Blvd, Los Angeles, CA 90034",34.0289144,-118.4034354,17,4.4,9,Culver City,Los Angeles,Sandwich shop,4,0
73,0x80c32b10e49a672f:0x46288086505cc6f3,Tacos Los Potrillos,"Tacos Los Potrillos, 19050 La Puente Rd, West Covina, CA 91792",34.0089613,-117.885968,18,4.6,26,South San Jose Hills,West Covina,Mexican restaurant,3,0
74,0x80c297a3288f0a23:0x3553505252f054f3,LETTUCE FEAST,"LETTUCE FEAST, 5301 Tujunga Ave, North Hollywood, CA 91006",34.1671342,-118.3790921,56,4.0,3,North Hollywood,North Hollywood,Restaurant,2,0
75,0x80c2b90d1e37b011:0x337c76a6f24e0872,Five Guys,"Five Guys, 4737 Venice Blvd., Los Angeles, CA 90019",34.0470916,-118.340308,28,3.5,3,Koreatown,Los Angeles,Restaurant,1,3
76,0x80c296c217631b49:0x2e120a91b259b871,El Tortillazo Mexican food,"El Tortillazo Mexican food, 13305 Saticoy St, North Hollywood, CA 91605",34.2086104,-118.4225404,36,4.3,4,Valley Glen,North Hollywood,Mexican restaurant,2,2
77,0x80c2cf3f3cf9255f:0x9015513fd44ec5e7,Antojitos Denises,"Antojitos Denises, 4060 E Olympic Blvd, Los Angeles, CA 90023",34.0187333,-118.1871088,25,4.7,4,East Los Angeles,Los Angeles,Mexican restaurant,4,0
78,0x80c2c0b01c7463a3:0x526bfb376979506c,En Sushi Los Feliz,"En Sushi Los Feliz, 1972 Hillhurst Ave, Los Angeles, CA 90027",34.107405,-118.287191,28,4.2,17,Silver Lake,Los Angeles,Sushi Restaurant,4,3
79,0x80c2876148b49f4f:0xf3b640b3df89dade,Incredibowls Acai Bowls & Blends,"Incredibowls Acai Bowls & Blends, 24208 Valencia Blvd #202, Santa Clarita, CA 91355",34.4118859,-118.5579348,38,4.4,27,Santa Clarita,Valencia,Health food restaurant,4,0
80,0x80c2c0fda4e0bde3:0x1dd3d52636cb4d52,Fresco Ristorante,"Fresco Ristorante, 514 S Brand Blvd, Glendale, CA 91204",34.140014,-118.254655,48,4.3,15,Glendale,Glendale,Italian restaurant,2,0
81,0x80c28717d667e36b:0x22b2b31b9d0014ae,Guanatos Tacos,"Guanatos Tacos, 21525 Soledad Canyon Rd, Santa Clarita, CA 91350",34.4167272,-118.5129218,38,3.9,3,Santa Clarita,Santa Clarita,Restaurant,6,1
82,0x80c32a650a0c42d3:0x7ec79532c86c4ec1,World Hot Pot Buffet,"World Hot Pot Buffet, 18009 Gale Ave, City of Industry, CA 91748",33.995371899999995,-117.9111172,27,3.3,6,South San Jose Hills,Rowland Heights,Chinese restaurant,4,1
83,0x80c297290705027f:0xde78a6eccf5f3e43,Cafe Areni Kebab House,"Cafe Areni Kebab House, 4373 Woodman Ave, Sherman Oaks, CA 91423",34.1501771,-118.4316479,26,4.6,24,Sherman Oaks,Sherman Oaks,Restaurant supply store,1,0
84,0x80c2b955979b701d:0xb21caed9d84d14eb,Healthy Zone Jook Hyang,"Healthy Zone Jook Hyang, 3177 W Olympic Blvd, Los Angeles, CA 90006",34.052807099999995,-118.305595,58,4.6,0,Koreatown,Los Angeles,Korean restaurant,4,1
85,0x80c2b5806c2372ff:0xc41acda8f21a41d8,Jang Soo Restaurant,"Jang Soo Restaurant, 1404 W Redondo Beach Blvd, Gardena, CA 90247",33.8909861,-118.3008583,28,3.8,3,Gardena,Gardena,Restaurant,6,2
86,0x80c299e33c29f859:0xff05c98f094d5615,Tacos El Tijuanazo,"Tacos El Tijuanazo, 7140 Louise Ave, Van Nuys, CA 91406",34.2010335,-118.5092278,28,4.1,4,Northridge,Van Nuys,Mexican restaurant,3,1
87,0x80c2c34320fc6015:0x8da95d5f2041fa92,Avanti Cafe,"Avanti Cafe, 111 N Lake Ave, Pasadena, CA 91101",34.1479103,-118.1325206,13,4.5,3,Pasadena,Pasadena,Restaurant,5,1
88,0x80c2c7c9e450aad7:0x55f6a7ac45bad129,L'APPART by AIR FOOD,"L'APPART by AIR FOOD, 130 E 6th St, Los Angeles, CA 90014",34.0446355,-118.2492419,37,4.7,31,Los Angeles,Los Angeles,Fusion restaurant,5,1
89,0x80c2c77bef259679:0x2badaf6ea5542424,Palmtree L.A.,"Palmtree L.A., 3240 Wilshire Blvd #200, Los Angeles, CA 90010",34.061361,-118.292552,17,3.8,24,Koreatown,Los Angeles,Restaurant supply store,1,1
90,0x80c2b8999b6e534f:0xfc2c0339be3bebf2,ChungSil-HongSil,"ChungSil-HongSil, 338 S Western Ave, Los Angeles, CA 90020",34.067854,-118.308626,18,4.4,3,Koreatown,Los Angeles,Restaurant,1,1
91,0x80c29512f036e489:0xd593636854bd265,Kai Ramen North Hollywood (NoHo Arts District),"Kai Ramen North Hollywood (NoHo Arts District), 5200 Lankershim Blvd STE 110, North Hollywood, CA 91601",34.1653628,-118.3745458,14,4.4,29,North Hollywood,North Hollywood,Japanese restaurant,1,1
92,0x80c29bdd92d0d529:0x41a54a62c30ec075,Ash's Grill,"Ash's Grill, 7221 Tampa Ave, Reseda, CA 91335",34.201770499999995,-118.5540335,78,4.7,25,Northridge,Reseda,Mediterranean restaurant,3,1
93,0x80c2dbfb512051a7:0x2d834de2a8505aba,Burgerim,"Burgerim, 1108 S Fifth Ave, Monrovia, CA 91016",34.1396128,-118.020373,18,4.0,3,Arcadia,Monrovia,Restaurant,1,0
94,0x80c2bea33f2a97d3:0x7191039eadab1744,Serafina Sunset,"Serafina Sunset, 8768 Sunset Blvd, West Hollywood, CA 90069",34.091021,-118.382354,38,4.0,24,West Hollywood,West Hollywood,Restaurant supply store,4,0
95,0x80c2cf07efd40df5:0x2dee3960d2600c3b,Olympic Basket,"Olympic Basket, 5138 E Olympic Blvd, Los Angeles, CA 90022",34.0212759,-118.158328,17,4.7,7,East Los Angeles,Los Angeles,Hamburger restaurant,2,0
96,0x80c2d085e28cbba9:0x81f8a7fe60fd37d4,An Lac Hanh Vegetarian,"An Lac Hanh Vegetarian, 9611 Garvey Ave, South El Monte, CA 91733",34.0631218,-118.0589676,28,4.0,13,South El Monte,South El Monte,Vietnamese restaurant,4,0
97,0x80c32b598921e401:0x185d50bde9aa2def,A & J Chinese Restaurant,"A & J Chinese Restaurant, 2769 S Diamond Bar Blvd, Diamond Bar, CA 91765",33.9757512,-117.8380572,14,4.0,20,Walnut,Diamond Bar,Taiwanese restaurant,2,2
98,0x80c2a575b729af53:0x5b9b2a7b3448cc4,BurgerIM,"BurgerIM, 1237 3rd Street Promenade, Santa Monica, CA 90401",34.0175957,-118.4981564,28,3.4,3,Santa Monica,Santa Monica,Restaurant,4,2
99,0x80c2cd9cc308e5f1:0xed0f17567d847990,Los Cheros Pupuseria #2,"Los Cheros Pupuseria #2, 8335 Rosecrans Ave, Paramount, CA 90723",33.903908099999995,-118.1532936,34,4.5,24,Paramount,Paramount,Restaurant supply store,0,3
100,0x80c2cde1494e9a27:0xef64601d484c8649,Tacos Don Chente Paramount,"Tacos Don Chente Paramount, 15000 Paramount Blvd, Paramount, CA 90723",33.8972286,-118.1598858,38,4.1,3,Paramount,Paramount,Restaurant,4,1
101,0x80dd2c43487e4a6d:0x6eced7d29f8eb7ce,Kaya Sushi and Grill,"Kaya Sushi and Grill, 13357 South St, Cerritos, CA 90703",33.8596157,-118.0466161,28,3.8,17,La Palma,Cerritos,Sushi Restaurant,5,2
102,0x80c2c798446a724b:0x967c1ac22ab6fd5e,Unique Thai,"Unique Thai, 1924 W Olympic Blvd, Los Angeles, CA 90006",34.050719,-118.278507,27,4.1,11,Koreatown,Los Angeles,Asian restaurant,4,1
103,0x80c2c7ecba396309:0x38abf7a4226d6df7,9th street pizza and pasta,"9th street pizza and pasta, 227 E 9th St, Los Angeles, CA 90015",34.0403641,-118.2533802,18,4.7,3,Los Angeles,Los Angeles,Restaurant,1,0
104,0x80c2c65bcbd088c3:0x494ca275e0d1271,Saigon Deli,"Saigon Deli, 832 N Broadway, Los Angeles, CA 90012",34.0632318,-118.2376823,15,3.9,13,Los Angeles,Los Angeles,Vietnamese restaurant,1,1
105,0x80c2c0ffbc7a7c2b:0x726b0504898b9133,Poke N Roll Maui Mix,"Poke N Roll Maui Mix, 100 Galleria Way, Glendale, CA 91210",34.1461209,-118.2573278,17,3.8,23,Glendale,Glendale,Seafood restaurant,3,0
106,0x80c2c355f053e2ad:0x2384bf1778a46b30,La Estrella Tacos,"La Estrella Tacos, 5325 York Blvd, Los Angeles, CA 90042",34.120244,-118.199534,18,4.0,26,South Pasadena,Los Angeles,Mexican restaurant,4,0
107,0x80c2b5fe7e3b90cb:0x6881f117eeb62081,Raising Cane's Chicken Fingers,"Raising Cane's Chicken Fingers, 2063 W Redondo Beach Blvd, Gardena, CA 90247",33.886856,-118.31437,25,4.3,28,Gardena,Gardena,Chicken wings restaurant,0,1
108,0x80c2cd09d207373b:0x92e96fd4bf67049c,Chick-fil-A Imperial & Lakewood,"Chick-fil-A Imperial & Lakewood, 8900 Imperial Hwy, Downey, CA 90242",33.9163144,-118.1385752,86,4.4,1,Downey,Downey,Fast food restaurant,13,7
109,0x80c2c7ca56ab37a3:0x3892955cb96fc8be,Crazy Tacos On 9th,"Crazy Tacos On 9th, 900 S Broadway, Los Angeles, CA 90015",34.0421707,-118.2560441,25,4.7,4,Los Angeles,Los Angeles,Mexican restaurant,3,0
110,0x80c2bdfa620a9dc1:0x1253e6b261ce11b1,Daiwa Sushi,"Daiwa Sushi, 12415 Ventura Blvd, Studio City, CA 91604",34.1430836,-118.4036148,48,4.6,17,Studio City,Studio City,Sushi Restaurant,7,3
